#,קוד פריט,ספק,קטגוריה,שם מוצר,תיאור,יחידה,מחיר אר-אל,מחיר לאחר הנחה,תיאור נוסף,
561,914086,נתון חסר,מסעדנות,קעריות חד פעמי מרק (מרקיה),ארוז 25 יח',יח',0,0,,
562,914088,נתון חסר,חד פעמי,קעריות קטנות מפלסטיק חד פעמי (ליפתניות),ארוז 25 יח',יח',0,0,,
478,711062,נתון חסר,מזון מוסדי,קפה 1 קג עלית מוסדי,בודד,יח',0,0,,
464,711035,נתון חסר,מוצרי אריזה ו-T.A,קראון 65 כיפה,ארוז 300 יח',יח',0,0,,
454,711009,נתון חסר,מסעדנות,קש ברד עבה שחור,ארוז 8000 קשים,יח',0,0,,
563,915003,נתון חסר,מוצרי אלומיניום,"רדיד אלומיניום רוחב 45 ס""מ אורך 50 מ' 16 מיקרון",ארוז 6 יח',יח',0,0,,
564,915004,נתון חסר,מוצרי אלומיניום,"רדיד אלומיניום רוחב 45 ס""מ אורך 50 מ' 18 מיקרון",ארוז 6 יח',יח',0,0,,
510,741100,נתון חסר,אביזרי ניקיון,רשת גומי ריחנית למשתנה,ריק,יח',0,0,,
513,741144,נתון חסר,אביזרי ניקיון,רשת מבשמת עם  אבן,ריק,יח',0,0,,
246,3101604,נתון חסר,שונות,שמפו+סבון גוף לבן גלון 4 ליטר,ארוז 4 גלונים,יח',0,0,,
93,1401,נתון חסר,מוצרי ניילון,שקיות אשפה עבות 75*90 שחור,ארוז 25 יח',יח',0,0,,
474,711057,נתון חסר,מוצרי ניילון,שקיות זילוף שקוף,ארוז 100 יח',יח',0,0,,
528,801756,נתון חסר,מוצרי ניילון,שקיות ניילון  90*75 ירוק חזק במיוחד LD,ארוז 25 יח',יח',0,0,,
517,8017001,נתון חסר,מוצרי ניילון,שקיות ניילון 100*110 שחורות לפח מגשים עבות במיוחד ,ארוז 25 יח',יח',0,0,,
